Name,ManaCost,Colors,ColorIdentity,Type,Category,CardType,IsLand,OracleText
Forest,0.0,,,Basic Land — Forest,Land,Land,true,({T}: Add {G}.)
Fury Sliver,6.0,R,R,Creature — Sliver,Creature,Creature,false,All Sliver creatures have double strike.
Kor Outfitter,2.0,W,W,Creature — Kor Soldier,Creature,Creature,false,"When this creature enters, you may attach target Equipment you control to target creature you control."
Spirit of the Hearth,6.0,W,W,Creature — Cat Spirit,"Creature, Protection",Creature,false,Flying You have hexproof. (You can't be the target of spells or abilities your opponents control.)
Siren Lookout,3.0,U,U,Creature — Siren Pirate,Creature,Creature,false,"Flying When this creature enters, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Wormfang Drake,3.0,U,U,Creature — Nightmare Drake,Creature,Creature,false,"Flying When this creature enters, sacrifice it unless you exile a creature you control other than this creature. When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control."
Web,1.0,G,G,Enchantment — Aura,Enchantment,Enchantment,false,Enchant creature (Target a creature as you cast this. This card enters attached to that creature.) Enchanted creature gets +0/+2 and has reach. (It can block creatures with flying.)
"Chandra, Pyrogenius",6.0,R,R,Legendary Planeswalker — Chandra,"Planeswalker, Removal",Planeswalker,false,+2: Chandra deals 2 damage to each opponent. −3: Chandra deals 4 damage to target creature. −10: Chandra deals 6 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
Transluminant,2.0,G,G,Creature — Dryad Shaman,"Creature, Token Generation",Creature,false,"{W}, Sacrifice this creature: Create a 1/1 white Spirit creature token with flying at the beginning of the next end step."
Lord of the Accursed,3.0,B,B,Creature — Zombie,Creature,Creature,false,"Other Zombies you control get +1/+1. {1}{B}, {T}: All Zombies gain menace until end of turn."
Shardless Agent,3.0,G;U,G;U,Artifact Creature — Human Rogue,"Artifact, Creature",Creature,false,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)"
Fear of Death,2.0,U,U,Enchantment — Aura,Enchantment,Enchantment,false,"Enchant creature When this Aura enters, mill two cards. (Put the top two cards of your library into your graveyard.) Enchanted creature gets -X/-0, where X is the number of cards in your graveyard."
Drudge Beetle,2.0,G,G,Creature — Insect,"Creature, Removal",Creature,false,"Scavenge {5}{G} ({5}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)"
Flight of Fancy,4.0,U,U,Enchantment — Aura,"Card Draw, Enchantment",Enchantment,false,"Enchant creature When this Aura enters, draw two cards. Enchanted creature has flying."
Holistic Wisdom,3.0,G,G,Enchantment,"Enchantment, Recursion, Removal",Enchantment,false,"{2}, Exile a card from your hand: Return target card from your graveyard to your hand if it shares a card type with the card exiled this way. (Artifact, battle, creature, enchantment, kindred, instant, land, planeswalker, and sorcery are card types.)"
Wastewood Verge,0.0,,,Land,Land,Land,true,{T}: Add {G}. {T}: Add {B}. Activate only if you control a Swamp or a Forest.
Well of Lost Dreams,4.0,,,Artifact,"Artifact, Card Draw, Life Gain",Artifact,false,"Whenever you gain life, you may pay {X}, where X is less than or equal to the amount of life you gained. If you do, draw X cards."
Surge of Brilliance,2.0,U,U,Instant,"Card Draw, Instant",Instant,false,"Paradox — Draw a card for each spell you've cast this turn from anywhere other than your hand. Foretell {1}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
"Ziatora, the Incinerator",6.0,B;G;R,B;G;R,Legendary Creature — Demon Dragon,"Creature, Removal, Token Generation",Creature,false,"Flying At the beginning of your end step, you may sacrifice another creature. When you do, Ziatora deals damage equal to that creature's power to any target and you create three Treasure tokens."
Obyra's Attendants // Desperate Parry,5.0,U,U,Creature — Faerie Wizard // Instant — Adventure,"Creature, Instant, Removal",Creature,false,Flying // Target creature gets -4/-0 until end of turn. (Then exile this card. You may cast the creature later from exile.)
Reclamation Sage,3.0,G,G,Creature — Elf Shaman,"Creature, Removal",Creature,false,"When this creature enters, you may destroy target artifact or enchantment."
Venerable Knight,1.0,W,W,Creature — Human Knight,Creature,Creature,false,"When this creature dies, put a +1/+1 counter on target Knight you control."
Wildcall,2.0,G,G,Sorcery,Sorcery,Sorcery,false,"Manifest the top card of your library, then put X +1/+1 counters on it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
Skyknight Vanguard,2.0,R;W,R;W,Creature — Human Knight,"Creature, Token Generation",Creature,false,"Flying Whenever this creature attacks, create a 1/1 white Soldier creature token that's tapped and attacking."
Flamekin Bladewhirl,1.0,R,R,Creature — Elemental Warrior,Creature,Creature,false,"As an additional cost to cast this spell, reveal an Elemental card from your hand or pay {3}."
Ghastbark Twins,7.0,G,G,Creature — Treefolk,Creature,Creature,false,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) This creature can block an additional creature each combat.
Mystic Skyfish,3.0,U,U,Creature — Fish,"Card Draw, Creature",Creature,false,"Whenever you draw your second card each turn, this creature gains flying until end of turn."
Guardian Sunmare,5.0,W,W,Creature — Horse Mount,"Creature, Protection, Tutor",Creature,false,"Ward {2} Whenever this creature attacks while saddled, search your library for a nonland permanent card with mana value 3 or less, put it onto the battlefield, then shuffle. Saddle 4"
"Yuna, Grand Summoner",4.0,G;U;W,G;U;W,Legendary Creature — Human Cleric,Creature,Creature,false,"Grand Summon — {T}: Add one mana of any color. When you next cast a creature spell this turn, that creature enters with two additional +1/+1 counters on it. Whenever another permanent you control is put into a graveyard from the battlefield, if it had one or more counters on it, you may put that number of +1/+1 counters on target creature."
